outlier_no,subset_size,subset,node,data type,index_first_element,index_last_element
292,3,"[12, 12, 22]",39,CURRENT_icmp_recv,8,10
293,3,"[24, 24, 29]",39,CURRENT_icmp_sent,28,30
294,3,"[4, 5, 5]",40,CURRENT_icmp_recv,6,8
295,3,"[4, 4, 6]",40,CURRENT_icmp_sent,5,7
296,3,"[4, 4, 6]",40,CURRENT_icmp_sent,6,8
297,3,"[24, 24, 27]",40,CURRENT_icmp_sent,26,28
298,3,"[24, 24, 25]",40,CURRENT_icmp_sent,27,29
299,3,"[10, 12, 12]",41,CURRENT_icmp_recv,6,8
300,3,"[24, 25, 81]",41,CURRENT_icmp_recv,16,18
301,3,"[63, 63, 81]",41,CURRENT_icmp_recv,18,20
302,3,"[49, 63, 63]",41,CURRENT_icmp_recv,19,21
303,3,"[38, 39, 94]",41,CURRENT_icmp_recv,25,27
304,3,"[28, 28, 54]",41,CURRENT_icmp_sent,11,13
305,3,"[16, 19, 214]",41,CURRENT_icmp_sent,14,16
306,3,"[14, 14, 21]",41,CURRENT_icmp_sent,24,26
307,3,"[14, 14, 58]",41,CURRENT_icmp_sent,25,27
308,3,"[30, 30, 52]",42,CURRENT_icmp_recv,23,25
309,3,"[30, 30, 56]",42,CURRENT_icmp_recv,24,26
310,3,"[3, 5, 5]",42,CURRENT_icmp_sent,3,5
311,3,"[4, 5, 5]",42,CURRENT_icmp_sent,4,6
312,3,"[15, 17, 17]",42,CURRENT_icmp_sent,20,22
313,3,"[7, 8, 63]",43,CURRENT_icmp_recv,9,11
314,3,"[65, 73, 780]",43,CURRENT_icmp_recv,24,26
315,3,"[40, 60, 780]",43,CURRENT_icmp_recv,26,28
316,3,"[42, 42, 59]",43,CURRENT_icmp_recv,31,33
317,3,"[42, 42, 45]",43,CURRENT_icmp_recv,32,34
318,3,"[3, 3, 5]",43,CURRENT_icmp_sent,7,9
319,3,"[3, 3, 4]",43,CURRENT_icmp_sent,8,10
320,3,"[3, 4, 37]",43,CURRENT_icmp_sent,9,11
321,3,"[65, 65, 189]",43,CURRENT_icmp_sent,22,24
322,3,"[25, 38, 764]",43,CURRENT_icmp_sent,25,27
323,3,"[25, 39, 764]",43,CURRENT_icmp_sent,26,28
324,3,"[17, 18, 18]",44,CURRENT_icmp_recv,4,6
325,3,"[55, 55, 56]",44,CURRENT_icmp_recv,20,22
326,3,"[4, 4, 7]",44,CURRENT_icmp_sent,5,7
327,3,"[4, 4, 6]",44,CURRENT_icmp_sent,7,9
