NODE,TIME,DATA TYPE,VALUES
"4	R",27,CURRENT_icmp_sent,5
"4	R",27,CURRENT_icmp_recv,5
"6	R",27,CURRENT_icmp_sent,5
"6	R",27,CURRENT_icmp_recv,4
"3	R",27,CURRENT_icmp_sent,5
"3	R",27,CURRENT_icmp_recv,5
"2	R",28,CURRENT_icmp_sent,4
"2	R",28,CURRENT_icmp_recv,3
"8	R",28,CURRENT_icmp_sent,3
"8	R",28,CURRENT_icmp_recv,4
"4	R",28,CURRENT_icmp_sent,5
"4	R",28,CURRENT_icmp_recv,5
"6	R",28,CURRENT_icmp_sent,8
"6	R",28,CURRENT_icmp_recv,5
"3	R",28,CURRENT_icmp_sent,5
"3	R",28,CURRENT_icmp_recv,6
"2	R",29,CURRENT_icmp_sent,3
"2	R",29,CURRENT_icmp_recv,2
"8	R",29,CURRENT_icmp_sent,3
"8	R",29,CURRENT_icmp_recv,2
"4	R",29,CURRENT_icmp_sent,4
"4	R",29,CURRENT_icmp_recv,5
"6	R",29,CURRENT_icmp_sent,6
"6	R",29,CURRENT_icmp_recv,4
"3	R",29,CURRENT_icmp_sent,6
"3	R",29,CURRENT_icmp_recv,4
"2	R",30,CURRENT_icmp_sent,4
"2	R",30,CURRENT_icmp_recv,3
"8	R",30,CURRENT_icmp_sent,4
"8	R",30,CURRENT_icmp_recv,2
"4	R",30,CURRENT_icmp_sent,5
"4	R",30,CURRENT_icmp_recv,5
"6	R",30,CURRENT_icmp_sent,6
"6	R",30,CURRENT_icmp_recv,5
"3	R",30,CURRENT_icmp_sent,5
"3	R",30,CURRENT_icmp_recv,4
"2	R",31,CURRENT_icmp_sent,3
"2	R",31,CURRENT_icmp_recv,1
"8	R",31,CURRENT_icmp_sent,4
"8	R",31,CURRENT_icmp_recv,6
"4	R",31,CURRENT_icmp_sent,2
"4	R",31,CURRENT_icmp_recv,5
"6	R",31,CURRENT_icmp_sent,6
"6	R",31,CURRENT_icmp_recv,6
"3	R",31,CURRENT_icmp_sent,6
"3	R",31,CURRENT_icmp_recv,4
"2	R",32,CURRENT_icmp_sent,3
"2	R",32,CURRENT_icmp_recv,3
"8	R",32,CURRENT_icmp_sent,4
"8	R",32,CURRENT_icmp_recv,3
"4	R",32,CURRENT_icmp_sent,5
"4	R",32,CURRENT_icmp_recv,5
"6	R",32,CURRENT_icmp_sent,8
"6	R",32,CURRENT_icmp_recv,4
"3	R",32,CURRENT_icmp_sent,6
"3	R",32,CURRENT_icmp_recv,7
"2	R",33,CURRENT_icmp_sent,3
"2	R",33,CURRENT_icmp_recv,2
"8	R",33,CURRENT_icmp_sent,4
"8	R",33,CURRENT_icmp_recv,2
"4	R",33,CURRENT_icmp_sent,5
"4	R",33,CURRENT_icmp_recv,4
"6	R",33,CURRENT_icmp_sent,6
"6	R",33,CURRENT_icmp_recv,5
"3	R",33,CURRENT_icmp_sent,5
"3	R",33,CURRENT_icmp_recv,5
"2	R",34,CURRENT_icmp_sent,4
"2	R",34,CURRENT_icmp_recv,2
"8	R",34,CURRENT_icmp_sent,4
"8	R",34,CURRENT_icmp_recv,5
"4	R",34,CURRENT_icmp_sent,4
"4	R",34,CURRENT_icmp_recv,5
"6	R",34,CURRENT_icmp_sent,6
"6	R",34,CURRENT_icmp_recv,4
"3	R",34,CURRENT_icmp_sent,5
"3	R",34,CURRENT_icmp_recv,6
"2	R",35,CURRENT_icmp_sent,4
"2	R",35,CURRENT_icmp_recv,3
"8	R",35,CURRENT_icmp_sent,3
"8	R",35,CURRENT_icmp_recv,4
"4	R",35,CURRENT_icmp_sent,6
"4	R",35,CURRENT_icmp_recv,7
"6	R",35,CURRENT_icmp_sent,10
"6	R",35,CURRENT_icmp_recv,8
"3	R",35,CURRENT_icmp_sent,9
"3	R",35,CURRENT_icmp_recv,6
"2	R",36,CURRENT_icmp_sent,3
"2	R",36,CURRENT_icmp_recv,2
"8	R",36,CURRENT_icmp_sent,4
"8	R",36,CURRENT_icmp_recv,2
"4	R",36,CURRENT_icmp_sent,4
"4	R",36,CURRENT_icmp_recv,4
"6	R",36,CURRENT_icmp_sent,4
"6	R",36,CURRENT_icmp_recv,2
"3	R",36,CURRENT_icmp_sent,3
"3	R",36,CURRENT_icmp_recv,5
