NODE,TIME,DATA TYPE,VALUE
25 R,2,CURRENT_icmp_sent,18
25 R,2,CURRENT_icmp_recv,49
102 R,2,CURRENT_icmp_sent,5
122 R,2,CURRENT_icmp_sent,88
102 R,2,CURRENT_icmp_recv,6
122 R,2,CURRENT_icmp_recv,106
123 R,2,CURRENT_icmp_sent,26
123 R,2,CURRENT_icmp_recv,49
59 R,2,CURRENT_icmp_sent,11
59 R,2,CURRENT_icmp_recv,16
34 R,2,CURRENT_icmp_sent,35
34 R,2,CURRENT_icmp_recv,37
93 R,2,CURRENT_icmp_sent,17
93 R,2,CURRENT_icmp_recv,36
78 R,3,CURRENT_icmp_sent,14
78 R,3,CURRENT_icmp_recv,23
71 R,3,CURRENT_icmp_sent,5
71 R,3,CURRENT_icmp_recv,6
41 R,3,CURRENT_icmp_sent,6
36 R,3,CURRENT_icmp_sent,6
41 R,3,CURRENT_icmp_recv,15
36 R,3,CURRENT_icmp_recv,3
26 R,3,CURRENT_icmp_sent,8
26 R,3,CURRENT_icmp_recv,20
72 R,3,CURRENT_icmp_sent,5
72 R,3,CURRENT_icmp_recv,13
87 R,3,CURRENT_icmp_sent,5
87 R,3,CURRENT_icmp_recv,7
10 R,3,CURRENT_icmp_sent,3
10 R,3,CURRENT_icmp_recv,10
69 R,3,CURRENT_icmp_sent,28
69 R,3,CURRENT_icmp_recv,51
110 R,3,CURRENT_icmp_sent,7
110 R,3,CURRENT_icmp_recv,15
81 R,3,CURRENT_icmp_sent,22
81 R,3,CURRENT_icmp_recv,50
62 R,3,CURRENT_icmp_sent,8
50 R,3,CURRENT_icmp_sent,36
62 R,3,CURRENT_icmp_recv,13
50 R,3,CURRENT_icmp_recv,60
96 R,3,CURRENT_icmp_sent,39
96 R,3,CURRENT_icmp_recv,51
117 R,3,CURRENT_icmp_sent,3
52 R,3,CURRENT_icmp_sent,5
117 R,3,CURRENT_icmp_recv,9
52 R,3,CURRENT_icmp_recv,10
100 R,3,CURRENT_icmp_sent,4
100 R,3,CURRENT_icmp_recv,4
57 R,3,CURRENT_icmp_sent,44
30 R,3,CURRENT_icmp_sent,7
57 R,3,CURRENT_icmp_recv,69
106 R,3,CURRENT_icmp_sent,11
30 R,3,CURRENT_icmp_recv,15
108 R,3,CURRENT_icmp_sent,7
106 R,3,CURRENT_icmp_recv,31
108 R,3,CURRENT_icmp_recv,19
105 R,3,CURRENT_icmp_sent,4
105 R,3,CURRENT_icmp_recv,4
97 R,3,CURRENT_icmp_sent,13
97 R,3,CURRENT_icmp_recv,28
13 R,3,CURRENT_icmp_sent,36
91 R,3,CURRENT_icmp_sent,2
13 R,3,CURRENT_icmp_recv,73
91 R,3,CURRENT_icmp_recv,4
33 R,3,CURRENT_icmp_sent,10
33 R,3,CURRENT_icmp_recv,39
37 R,3,CURRENT_icmp_sent,8
37 R,3,CURRENT_icmp_recv,10
56 R,3,CURRENT_icmp_sent,5
90 R,3,CURRENT_icmp_sent,32
56 R,3,CURRENT_icmp_recv,7
90 R,3,CURRENT_icmp_recv,55
46 R,3,CURRENT_icmp_sent,8
46 R,3,CURRENT_icmp_recv,10
47 R,3,CURRENT_icmp_sent,27
47 R,3,CURRENT_icmp_recv,43
74 R,3,CURRENT_icmp_sent,17
74 R,3,CURRENT_icmp_recv,35
2 R,3,CURRENT_icmp_sent,38
2 R,3,CURRENT_icmp_recv,89
32 R,3,CURRENT_icmp_sent,6
32 R,3,CURRENT_icmp_recv,5
8 R,3,CURRENT_icmp_sent,2
83 R,3,CURRENT_icmp_sent,4
8 R,3,CURRENT_icmp_recv,2
83 R,3,CURRENT_icmp_recv,8
79 R,3,CURRENT_icmp_sent,10
79 R,3,CURRENT_icmp_recv,24
112 R,3,CURRENT_icmp_sent,4
88 R,3,CURRENT_icmp_sent,7
112 R,3,CURRENT_icmp_recv,5
88 R,3,CURRENT_icmp_recv,10
67 R,3,CURRENT_icmp_sent,16
67 R,3,CURRENT_icmp_recv,19
111 R,3,CURRENT_icmp_sent,10
111 R,3,CURRENT_icmp_recv,6
70 R,3,CURRENT_icmp_sent,4
70 R,3,CURRENT_icmp_recv,7
119 R,3,CURRENT_icmp_sent,5
119 R,3,CURRENT_icmp_recv,5
98 R,3,CURRENT_icmp_sent,47
98 R,3,CURRENT_icmp_recv,93
65 R,3,CURRENT_icmp_sent,5
65 R,3,CURRENT_icmp_recv,8
20 R,3,CURRENT_icmp_sent,40
20 R,3,CURRENT_icmp_recv,41
4 R,3,CURRENT_icmp_sent,9
