NODE,TIME,DATA TYPE,VALUES
"3	R",33,TOTAL_icmp_recv,196
"2	R",34,TOTAL_icmp_sent,139
"2	R",34,TOTAL_icmp_recv,88
"8	R",34,TOTAL_icmp_sent,137
"8	R",34,TOTAL_icmp_recv,136
"4	R",34,TOTAL_icmp_sent,169
"4	R",34,TOTAL_icmp_recv,199
"6	R",34,TOTAL_icmp_sent,238
"6	R",34,TOTAL_icmp_recv,196
"3	R",34,TOTAL_icmp_sent,214
"3	R",34,TOTAL_icmp_recv,201
"2	R",35,TOTAL_icmp_sent,143
"2	R",35,TOTAL_icmp_recv,91
"8	R",35,TOTAL_icmp_sent,141
"8	R",35,TOTAL_icmp_recv,140
"4	R",35,TOTAL_icmp_sent,174
"4	R",35,TOTAL_icmp_recv,204
"6	R",35,TOTAL_icmp_sent,245
"6	R",35,TOTAL_icmp_recv,201
"3	R",35,TOTAL_icmp_sent,219
"3	R",35,TOTAL_icmp_recv,206
"2	R",36,TOTAL_icmp_sent,146
"2	R",36,TOTAL_icmp_recv,93
"8	R",36,TOTAL_icmp_sent,145
"8	R",36,TOTAL_icmp_recv,143
"4	R",36,TOTAL_icmp_sent,178
"4	R",36,TOTAL_icmp_recv,208
"6	R",36,TOTAL_icmp_sent,251
"6	R",36,TOTAL_icmp_recv,205
"3	R",36,TOTAL_icmp_sent,225
"3	R",36,TOTAL_icmp_recv,211
