NODE,TIME,DATA TYPE,VALUES
"13	R",24,TOTAL_icmp_recv,175
"2	R",24,TOTAL_icmp_sent,108
"2	R",24,TOTAL_icmp_recv,93
"8	R",24,TOTAL_icmp_sent,100
"8	R",24,TOTAL_icmp_recv,149
"4	R",24,TOTAL_icmp_sent,129
"4	R",24,TOTAL_icmp_recv,116
"9	R",24,TOTAL_icmp_sent,102
"9	R",24,TOTAL_icmp_recv,149
"12	R",24,TOTAL_icmp_sent,97
"12	R",24,TOTAL_icmp_recv,194
"11	R",24,TOTAL_icmp_sent,101
"11	R",24,TOTAL_icmp_recv,87
"6	R",24,TOTAL_icmp_sent,180
"6	R",24,TOTAL_icmp_recv,139
"3	R",24,TOTAL_icmp_sent,157
"3	R",24,TOTAL_icmp_recv,139
"10	R",25,TOTAL_icmp_sent,196
"10	R",25,TOTAL_icmp_recv,173
"13	R",25,TOTAL_icmp_sent,227
"13	R",25,TOTAL_icmp_recv,180
"2	R",25,TOTAL_icmp_sent,110
"2	R",25,TOTAL_icmp_recv,93
"8	R",25,TOTAL_icmp_sent,104
"8	R",25,TOTAL_icmp_recv,155
"4	R",25,TOTAL_icmp_sent,132
"4	R",25,TOTAL_icmp_recv,120
"9	R",25,TOTAL_icmp_sent,105
"9	R",25,TOTAL_icmp_recv,154
"12	R",25,TOTAL_icmp_sent,102
"12	R",25,TOTAL_icmp_recv,198
"11	R",25,TOTAL_icmp_sent,103
"11	R",25,TOTAL_icmp_recv,89
"6	R",25,TOTAL_icmp_sent,187
"6	R",25,TOTAL_icmp_recv,144
"3	R",25,TOTAL_icmp_sent,165
"3	R",25,TOTAL_icmp_recv,144
"10	R",26,TOTAL_icmp_sent,201
"10	R",26,TOTAL_icmp_recv,176
"13	R",26,TOTAL_icmp_sent,233
"13	R",26,TOTAL_icmp_recv,183
"2	R",26,TOTAL_icmp_sent,113
"2	R",26,TOTAL_icmp_recv,96
"8	R",26,TOTAL_icmp_sent,106
"8	R",26,TOTAL_icmp_recv,160
"4	R",26,TOTAL_icmp_sent,136
"4	R",26,TOTAL_icmp_recv,123
"9	R",26,TOTAL_icmp_sent,109
"9	R",26,TOTAL_icmp_recv,158
"12	R",26,TOTAL_icmp_sent,105
"12	R",26,TOTAL_icmp_recv,203
"11	R",26,TOTAL_icmp_sent,107
"11	R",26,TOTAL_icmp_recv,92
"6	R",26,TOTAL_icmp_sent,192
"6	R",26,TOTAL_icmp_recv,148
"3	R",26,TOTAL_icmp_sent,171
"3	R",26,TOTAL_icmp_recv,147
"10	R",27,TOTAL_icmp_sent,208
"10	R",27,TOTAL_icmp_recv,183
"13	R",27,TOTAL_icmp_sent,241
"13	R",27,TOTAL_icmp_recv,189
"2	R",27,TOTAL_icmp_sent,117
"2	R",27,TOTAL_icmp_recv,100
"8	R",27,TOTAL_icmp_sent,109
"8	R",27,TOTAL_icmp_recv,165
"4	R",27,TOTAL_icmp_sent,142
"4	R",27,TOTAL_icmp_recv,128
"9	R",27,TOTAL_icmp_sent,113
"9	R",27,TOTAL_icmp_recv,165
"12	R",27,TOTAL_icmp_sent,108
"12	R",27,TOTAL_icmp_recv,211
"11	R",27,TOTAL_icmp_sent,111
"11	R",27,TOTAL_icmp_recv,95
"6	R",27,TOTAL_icmp_sent,197
"6	R",27,TOTAL_icmp_recv,151
"3	R",27,TOTAL_icmp_sent,177
"3	R",27,TOTAL_icmp_recv,151
"10	R",28,TOTAL_icmp_sent,216
"10	R",28,TOTAL_icmp_recv,189
"13	R",28,TOTAL_icmp_sent,250
"13	R",28,TOTAL_icmp_recv,196
"2	R",28,TOTAL_icmp_sent,122
"2	R",28,TOTAL_icmp_recv,103
"8	R",28,TOTAL_icmp_sent,114
"8	R",28,TOTAL_icmp_recv,172
"4	R",28,TOTAL_icmp_sent,147
"4	R",28,TOTAL_icmp_recv,131
"9	R",28,TOTAL_icmp_sent,119
"9	R",28,TOTAL_icmp_recv,170
"12	R",28,TOTAL_icmp_sent,112
"12	R",28,TOTAL_icmp_recv,219
"11	R",28,TOTAL_icmp_sent,115
"11	R",28,TOTAL_icmp_recv,98
"6	R",28,TOTAL_icmp_sent,206
"6	R",28,TOTAL_icmp_recv,158
"3	R",28,TOTAL_icmp_sent,183
"3	R",28,TOTAL_icmp_recv,157
"10	R",29,TOTAL_icmp_sent,221
