NODE,TIME,DATA TYPE,VALUES
"10	R",11,TOTAL_icmp_sent,117
"10	R",11,TOTAL_icmp_recv,193
"13	R",11,TOTAL_icmp_sent,51
"13	R",11,TOTAL_icmp_recv,174
"2	R",11,TOTAL_icmp_sent,55
"2	R",11,TOTAL_icmp_recv,65
"8	R",11,TOTAL_icmp_sent,49
"8	R",11,TOTAL_icmp_recv,180
"20	R",11,TOTAL_icmp_sent,68
"20	R",11,TOTAL_icmp_recv,138
"4	R",11,TOTAL_icmp_sent,57
"4	R",11,TOTAL_icmp_recv,89
"9	R",11,TOTAL_icmp_sent,56
"9	R",11,TOTAL_icmp_recv,120
"16	R",11,TOTAL_icmp_sent,58
"16	R",11,TOTAL_icmp_recv,144
"17	R",11,TOTAL_icmp_sent,54
"17	R",11,TOTAL_icmp_recv,157
"22	R",11,TOTAL_icmp_sent,54
"18	R",11,TOTAL_icmp_sent,52
"22	R",11,TOTAL_icmp_recv,77
"18	R",11,TOTAL_icmp_recv,79
"12	R",11,TOTAL_icmp_sent,62
"12	R",11,TOTAL_icmp_recv,144
"14	R",11,TOTAL_icmp_sent,160
"14	R",11,TOTAL_icmp_recv,309
"11	R",11,TOTAL_icmp_sent,54
"11	R",11,TOTAL_icmp_recv,45
"6	R",11,TOTAL_icmp_sent,85
"6	R",11,TOTAL_icmp_recv,118
"21	R",11,TOTAL_icmp_sent,103
"21	R",11,TOTAL_icmp_recv,160
"19	R",11,TOTAL_icmp_sent,54
"19	R",11,TOTAL_icmp_recv,111
"15	R",11,TOTAL_icmp_sent,62
"15	R",11,TOTAL_icmp_recv,107
"3	R",11,TOTAL_icmp_sent,100
"3	R",11,TOTAL_icmp_recv,114
"23	R",11,TOTAL_icmp_sent,55
"23	R",11,TOTAL_icmp_recv,53
"10	R",12,TOTAL_icmp_sent,125
"10	R",12,TOTAL_icmp_recv,198
"13	R",12,TOTAL_icmp_sent,54
"13	R",12,TOTAL_icmp_recv,178
"2	R",12,TOTAL_icmp_sent,59
"2	R",12,TOTAL_icmp_recv,68
"8	R",12,TOTAL_icmp_sent,53
"8	R",12,TOTAL_icmp_recv,182
"20	R",12,TOTAL_icmp_sent,74
"20	R",12,TOTAL_icmp_recv,142
"4	R",12,TOTAL_icmp_sent,60
"4	R",12,TOTAL_icmp_recv,93
"9	R",12,TOTAL_icmp_sent,59
"9	R",12,TOTAL_icmp_recv,124
"16	R",12,TOTAL_icmp_sent,62
"16	R",12,TOTAL_icmp_recv,147
"17	R",12,TOTAL_icmp_sent,58
"17	R",12,TOTAL_icmp_recv,161
"22	R",12,TOTAL_icmp_sent,58
"18	R",12,TOTAL_icmp_sent,56
"22	R",12,TOTAL_icmp_recv,78
"18	R",12,TOTAL_icmp_recv,80
"12	R",12,TOTAL_icmp_sent,66
"12	R",12,TOTAL_icmp_recv,149
"14	R",12,TOTAL_icmp_sent,172
"14	R",12,TOTAL_icmp_recv,323
"11	R",12,TOTAL_icmp_sent,58
"11	R",12,TOTAL_icmp_recv,46
"6	R",12,TOTAL_icmp_sent,91
"6	R",12,TOTAL_icmp_recv,122
"21	R",12,TOTAL_icmp_sent,108
"21	R",12,TOTAL_icmp_recv,165
"19	R",12,TOTAL_icmp_sent,58
"19	R",12,TOTAL_icmp_recv,114
"15	R",12,TOTAL_icmp_sent,66
"15	R",12,TOTAL_icmp_recv,111
"3	R",12,TOTAL_icmp_sent,107
"3	R",12,TOTAL_icmp_recv,117
"23	R",12,TOTAL_icmp_sent,59
"23	R",12,TOTAL_icmp_recv,54
"10	R",13,TOTAL_icmp_sent,131
"10	R",13,TOTAL_icmp_recv,208
"13	R",13,TOTAL_icmp_sent,58
"13	R",13,TOTAL_icmp_recv,191
"2	R",13,TOTAL_icmp_sent,62
"2	R",13,TOTAL_icmp_recv,70
"8	R",13,TOTAL_icmp_sent,57
"8	R",13,TOTAL_icmp_recv,193
"20	R",13,TOTAL_icmp_sent,82
"20	R",13,TOTAL_icmp_recv,153
"4	R",13,TOTAL_icmp_sent,63
"4	R",13,TOTAL_icmp_recv,98
"9	R",13,TOTAL_icmp_sent,62
"9	R",13,TOTAL_icmp_recv,131
"16	R",13,TOTAL_icmp_sent,67
"16	R",13,TOTAL_icmp_recv,153
"17	R",13,TOTAL_icmp_sent,63
"17	R",13,TOTAL_icmp_recv,170
"22	R",13,TOTAL_icmp_sent,61
"18	R",13,TOTAL_icmp_sent,60
"22	R",13,TOTAL_icmp_recv,80
"18	R",13,TOTAL_icmp_recv,85
"12	R",13,TOTAL_icmp_sent,69
"12	R",13,TOTAL_icmp_recv,156
"14	R",13,TOTAL_icmp_sent,181
